,SMB,HML,Regression L2_SMB_return,Regression L1_SMB_return,SVM_SMB_return,RF_SMB_return,MLP_SMB_return,KNN_SMB_return,LSTM_SMB_return,GB_SMB_return,AdaB_SMB_return,GRU_12_SMB_return,Regression L2_HML_return,Regression L1_HML_return,SVM_HML_return,RF_HML_return,MLP_HML_return,KNN_HML_return,LSTM_HML_return,GB_HML_return,Adab_HML_return,GRU_12_HML_return,Regression L2_SMB_or_HML_return,Regression L1_SMB_or_HML_return,SVM_SMB_or_HML_return,RF_SMB_or_HML_return,MLP_SMB_or_HML_return,KNN_SMB_or_HML_return,LSTM_SMB_or_HML_return,GB_SMB_or_HML_return,Adab_SMB_or_HML_return,GRU_12_SMB_or_HML_return
199012,0.0079,-0.0154,0.0079,0.0079,0.0079,0.0079,0.0079,-0.0079,0.0079,0.0079,-0.0079,-0.0079,-0.0154,-0.0154,-0.0154,-0.0154,-0.0154,0.0154,-0.0154,-0.0154,-0.0154,-0.0154,0.0079,-0.0154,-0.0154,0.0079,-0.0154,-0.0154,0.0079,0.0079,-0.0154,-0.0154
199101,0.0379,-0.0184,0.0379,0.0379,0.0379,0.0379,0.0379,-0.0379,0.0379,-0.0379,-0.0379,-0.0379,-0.0184,-0.0184,-0.0184,-0.0184,-0.0184,0.0184,-0.0184,-0.0184,-0.0184,-0.0184,0.0379,-0.0184,-0.0184,-0.0184,-0.0184,0.0379,0.0379,-0.0184,-0.0184,-0.0184
199102,0.0395,-0.0054,0.0395,0.0395,0.0395,0.0395,0.0395,-0.0395,0.0395,-0.0395,-0.0395,0.0395,-0.0054,-0.0054,-0.0054,-0.0054,-0.0054,0.0054,-0.0054,-0.0054,-0.0054,-0.0054,0.0395,-0.0054,-0.0054,0.0395,-0.0054,-0.0054,0.0395,-0.0054,-0.0054,-0.0054
199103,0.0389,-0.0123,0.0389,0.0389,0.0389,0.0389,-0.0389,-0.0389,0.0389,-0.0389,-0.0389,0.0389,-0.0123,-0.0123,-0.0123,-0.0123,-0.0123,0.0123,-0.0123,-0.0123,0.0123,-0.0123,0.0389,-0.0123,-0.0123,0.0389,-0.0123,0.0389,0.0389,-0.0123,-0.0123,-0.0123
199104,0.005,0.0142,0.005,0.005,0.005,0.005,-0.005,-0.005,0.005,-0.005,-0.005,0.005,0.0142,0.0142,0.0142,0.0142,0.0142,-0.0142,0.0142,-0.0142,-0.0142,0.0142,0.005,0.0142,0.0142,0.0142,0.0142,0.0142,0.005,0.0142,0.005,0.0142
199105,-0.0034,-0.0057,-0.0034,-0.0034,-0.0034,0.0034,0.0034,0.0034,-0.0034,-0.0034,0.0034,-0.0034,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0034,-0.0034,-0.0057,-0.0057
199106,0.0007,0.0121,0.0007,0.0007,0.0007,0.0007,-0.0007,-0.0007,0.0007,0.0007,0.0007,0.0007,0.0121,0.0121,0.0121,0.0121,-0.0121,0.0121,0.0121,-0.0121,-0.0121,0.0121,0.0121,0.0121,0.0121,0.0121,0.0121,0.0007,0.0121,0.0007,0.0007,0.0121
199107,-0.0093,-0.0125,0.0093,0.0093,0.0093,0.0093,0.0093,0.0093,-0.0093,0.0093,0.0093,0.0093,-0.0125,-0.0125,-0.0125,-0.0125,0.0125,0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125
199108,0.0159,-0.0078,0.0159,0.0159,0.0159,0.0159,-0.0159,-0.0159,-0.0159,-0.0159,-0.0159,-0.0159,-0.0078,-0.0078,-0.0078,-0.0078,0.0078,0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078
199109,0.0163,-0.01,0.0163,0.0163,0.0163,-0.0163,-0.0163,-0.0163,-0.0163,0.0163,0.0163,-0.0163,-0.01,-0.01,-0.01,-0.01,0.01,0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0163,-0.01,-0.01,-0.01,0.0163,-0.01,-0.01
